name,urls
"David Inadomi, MD",https://www.doximity.com/pub/david-inadomi-md
"Edward Chou, MD",https://www.doximity.com/pub/edward-chou-md/1
"Charles Harding, MD",https://www.doximity.com/pub/charles-harding-md
"Michael Gilliland, MD",https://www.doximity.com/pub/michael-gilliland-md/1
"Robert Hickey, MD",https://www.doximity.com/pub/robert-hickey-md/2
"Mark Newman, MD",https://www.doximity.com/pub/mark-newman-md/2
"Kelly Pollak, MD",https://www.doximity.com/pub/kelly-pollak-md
"Elizabeth Lumpkin, MD",https://www.doximity.com/pub/elizabeth-lumpkin-md
"Ryan Anderson, MD",https://www.doximity.com/pub/ryan-anderson-md/1
"Evelyn Monico, MD",https://www.doximity.com/pub/evelyn-monico-md
