V_Vessel,V_From,V_To,V_Time,V_Tug,V_LOA
MOKU PAHU,COL,SEA,0532 Sun Jan 31 (Est.),SH,686
SCARLET EAGLE,UGC,SEA,0602 Sun Jan 31 (Est.),SH,751
OCEAN TRADER 1,UGC,SEA,0602 Sun Jan 31 (Est.),SH,738
SHAO SHAN 6,UGC,SEA,0602 Sun Jan 31 (Est.),SH,738
MARSDEN POINT,LGV 5,SEA,0802 Sun Jan 31 (Est.),SH,584
FOREST TRADER,WLOGA,SEA,0802 Sun Jan 31 (Est.),FM,580
MOUNT HIKURANGI,LGV 5,SEA,0802 Sun Jan 31 (Est.),FM,576
GLOBAL HEART,BERTH,SEA,0802 Sun Jan 31 (Est.),FM,585
HISPANIA GRAECA,EGT,SEA,1002 Sun Jan 31 (Est.),FM,738
ANGELIC POWER,EGT,SEA,1002 Sun Jan 31 (Est.),SH,738
ARMERIA,TMPOR,SEA,1102 Sun Jan 31 (Est.),FM,621
OCEANLOVE,TMKAL,SEA,1102 Sun Jan 31 (Est.),FM,623
