Summary,Bill_Number,Source_Urls,Bill_Title,Author
,"BILL LIST: PASSED
       ,
              create ",http://lis.virginia.gov/cgi-bin/legp604.exe?151+lst+PAS," or ,
 |  ,
        
",
,"BILL LIST: PASSED
       ,
              create ",http://lis.virginia.gov/cgi-bin/legp604.exe?151+lst+PAS+HB1476," or ,
 |  ,
        
",
,"BILL LIST: PASSED
       ,
              create ",http://lis.virginia.gov/cgi-bin/legp604.exe?151+lst+PAS+HB1662," or ,
 |  ,
        
",
